,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0,resnet18,entropy,0,0.391025641025641,0.8125,0.03333333333333333,0.06403940886699508,0.6487946526408065
1,resnet18,entropy,1,0.4439102564102564,0.9574468085106383,0.11538461538461539,0.20594965675057209,0.8180692526846373
2,resnet18,entropy,2,0.5432692307692307,0.981651376146789,0.2743589743589744,0.4288577154308617,0.8955621301775148
3,resnet18,entropy,3,0.6762820512820513,0.9747474747474747,0.4948717948717949,0.6564625850340136,0.9215099715099715
4,resnet18,entropy,4,0.8733974358974359,0.9455587392550143,0.8461538461538461,0.8930987821380244,0.9362480824019285
5,resnet18,entropy,5,0.9038461538461539,0.9104477611940298,0.9384615384615385,0.9242424242424242,0.9502081963620426
6,resnet18,entropy,6,0.8958333333333334,0.877030162412993,0.9692307692307692,0.9208282582216809,0.9540105193951348
7,resnet18,entropy,7,0.8910256410256411,0.865909090909091,0.9769230769230769,0.9180722891566265,0.9585689239535393
8,resnet18,entropy,8,0.8878205128205128,0.8587443946188341,0.982051282051282,0.916267942583732,0.9639929870699102
9,resnet18,entropy,9,0.8862179487179487,0.8536585365853658,0.9871794871794872,0.915576694411415,0.9639162831470524
10,resnet18,pca_then_kmeans,0,0.391025641025641,0.8125,0.03333333333333333,0.06403940886699508,0.6487946526408065
11,resnet18,pca_then_kmeans,1,0.421474358974359,0.967741935483871,0.07692307692307693,0.14251781472684086,0.8238110891957046
12,resnet18,pca_then_kmeans,2,0.5448717948717948,0.9818181818181818,0.27692307692307694,0.432,0.8896230550076704
13,resnet18,pca_then_kmeans,3,0.8253205128205128,0.9270516717325228,0.782051282051282,0.8484005563282336,0.9264628533859304
14,resnet18,pca_then_kmeans,4,0.8862179487179487,0.9230769230769231,0.8923076923076924,0.9074315514993481,0.9431623931623931
15,resnet18,pca_then_kmeans,5,0.8926282051282052,0.8948655256723717,0.9384615384615385,0.9161451814768461,0.9419132149901381
16,resnet18,pca_then_kmeans,6,0.8974358974358975,0.8995098039215687,0.941025641025641,0.9197994987468672,0.9428774928774929
17,resnet18,pca_then_kmeans,7,0.9038461538461539,0.8985507246376812,0.9538461538461539,0.9253731343283582,0.9492439184746877
18,resnet18,pca_then_kmeans,8,0.8942307692307693,0.8802816901408451,0.9615384615384616,0.9191176470588235,0.952158667543283
19,resnet18,pca_then_kmeans,9,0.8830128205128205,0.8594104308390023,0.9717948717948718,0.9121540312876053,0.9514025860179707
