,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0,resnet18,random,0,0.391025641025641,0.8125,0.03333333333333333,0.06403940886699508,0.6487946526408065
1,resnet18,random,1,0.44871794871794873,0.96,0.12307692307692308,0.21818181818181817,0.8044926583388122
2,resnet18,random,2,0.6522435897435898,0.9481865284974094,0.46923076923076923,0.62778730703259,0.8941047556432172
3,resnet18,random,3,0.7884615384615384,0.9417808219178082,0.7051282051282052,0.8064516129032258,0.9195814157352619
4,resnet18,random,4,0.8733974358974359,0.9355742296918768,0.8564102564102564,0.8942436412315931,0.9404777558623713
5,resnet18,random,5,0.8894230769230769,0.9168831168831169,0.9051282051282051,0.9109677419354839,0.9414639491562569
6,resnet18,random,6,0.907051282051282,0.9170854271356784,0.9358974358974359,0.9263959390862944,0.9442691211921981
7,resnet18,random,7,0.8926282051282052,0.8891566265060241,0.9461538461538461,0.9167701863354037,0.945540214770984
8,resnet18,random,8,0.8846153846153846,0.8714953271028038,0.9564102564102565,0.9119804400977995,0.9468660968660968
9,resnet18,random,9,0.8830128205128205,0.8747044917257684,0.9487179487179487,0.9102091020910209,0.9407955292570677
