,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0,resnet18,uncertainty,0,0.391025641025641,0.8125,0.03333333333333333,0.06403940886699508,0.6487946526408065
1,resnet18,uncertainty,1,0.42788461538461536,0.9459459459459459,0.08974358974358974,0.16393442622950818,0.7725838264299802
2,resnet18,uncertainty,2,0.8269230769230769,0.8710526315789474,0.8487179487179487,0.8597402597402597,0.9016217400832784
3,resnet18,uncertainty,3,0.7948717948717948,0.766260162601626,0.9666666666666667,0.854875283446712,0.933158010081087
4,resnet18,uncertainty,4,0.7772435897435898,0.7436893203883496,0.982051282051282,0.8464088397790055,0.9446307253999561
5,resnet18,uncertainty,5,0.7756410256410257,0.7431906614785992,0.9794871794871794,0.8451327433628318,0.9469428007889547
6,resnet18,uncertainty,6,0.7756410256410257,0.7403846153846154,0.9871794871794872,0.8461538461538461,0.9492658338812185
7,resnet18,uncertainty,7,0.7660256410256411,0.7293233082706767,0.9948717948717949,0.841648590021692,0.9531777339469648
8,resnet18,uncertainty,8,0.7868589743589743,0.7495145631067961,0.9897435897435898,0.8530386740331491,0.9524216524216524
9,resnet18,uncertainty,9,0.7852564102564102,0.75,0.9846153846153847,0.8514412416851441,0.9503561253561252
