,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0,resnet18,random,0,0.391025641,0.8125,0.033333333,0.064039409,0.648794653
1,resnet18,random,1,0.448717949,0.96,0.123076923,0.218181818,0.804492658
2,resnet18,random,2,0.65224359,0.948186528,0.469230769,0.627787307,0.894104756
3,resnet18,random,3,0.788461538,0.941780822,0.705128205,0.806451613,0.919581416
4,resnet18,random,4,0.873397436,0.93557423,0.856410256,0.894243641,0.940477756
5,resnet18,random,5,0.889423077,0.916883117,0.905128205,0.910967742,0.941463949
6,resnet18,random,6,0.907051282,0.917085427,0.935897436,0.926395939,0.944269121
7,resnet18,random,7,0.892628205,0.889156627,0.946153846,0.916770186,0.945540215
8,resnet18,random,8,0.884615385,0.871495327,0.956410256,0.91198044,0.946866097
9,resnet18,random,9,0.883012821,0.874704492,0.948717949,0.910209102,0.940795529
10,resnet18,uncertainty,0,0.391025641,0.8125,0.033333333,0.064039409,0.648794653
11,resnet18,uncertainty,1,0.427884615,0.945945946,0.08974359,0.163934426,0.772583826
12,resnet18,uncertainty,2,0.826923077,0.871052632,0.848717949,0.85974026,0.90162174
13,resnet18,uncertainty,3,0.794871795,0.766260163,0.966666667,0.854875283,0.93315801
14,resnet18,uncertainty,4,0.77724359,0.74368932,0.982051282,0.84640884,0.944630725
15,resnet18,uncertainty,5,0.775641026,0.743190661,0.979487179,0.845132743,0.946942801
16,resnet18,uncertainty,6,0.775641026,0.740384615,0.987179487,0.846153846,0.949265834
17,resnet18,uncertainty,7,0.766025641,0.729323308,0.994871795,0.84164859,0.953177734
18,resnet18,uncertainty,8,0.786858974,0.749514563,0.98974359,0.853038674,0.952421652
19,resnet18,uncertainty,9,0.78525641,0.75,0.984615385,0.851441242,0.950356125
20,resnet18,entropy,0,0.391025641,0.8125,0.033333333,0.064039409,0.648794653
21,resnet18,entropy,1,0.443910256,0.957446809,0.115384615,0.205949657,0.818069253
22,resnet18,entropy,2,0.543269231,0.981651376,0.274358974,0.428857715,0.89556213
23,resnet18,entropy,3,0.676282051,0.974747475,0.494871795,0.656462585,0.921509972
24,resnet18,entropy,4,0.873397436,0.945558739,0.846153846,0.893098782,0.936248082
25,resnet18,entropy,5,0.903846154,0.910447761,0.938461538,0.924242424,0.950208196
26,resnet18,entropy,6,0.895833333,0.877030162,0.969230769,0.920828258,0.954010519
27,resnet18,entropy,7,0.891025641,0.865909091,0.976923077,0.918072289,0.958568924
28,resnet18,entropy,8,0.887820513,0.858744395,0.982051282,0.916267943,0.963992987
29,resnet18,entropy,9,0.886217949,0.853658537,0.987179487,0.915576694,0.963916283
30,resnet18,pca_then_kmeans,0,0.391025641,0.8125,0.033333333,0.064039409,0.648794653
31,resnet18,pca_then_kmeans,1,0.421474359,0.967741935,0.076923077,0.142517815,0.823811089
32,resnet18,pca_then_kmeans,2,0.544871795,0.981818182,0.276923077,0.432,0.889623055
33,resnet18,pca_then_kmeans,3,0.825320513,0.927051672,0.782051282,0.848400556,0.926462853
34,resnet18,pca_then_kmeans,4,0.886217949,0.923076923,0.892307692,0.907431551,0.943162393
35,resnet18,pca_then_kmeans,5,0.892628205,0.894865526,0.938461538,0.916145181,0.941913215
36,resnet18,pca_then_kmeans,6,0.897435897,0.899509804,0.941025641,0.919799499,0.942877493
37,resnet18,pca_then_kmeans,7,0.903846154,0.898550725,0.953846154,0.925373134,0.949243918
38,resnet18,pca_then_kmeans,8,0.894230769,0.88028169,0.961538462,0.919117647,0.952158668
39,resnet18,pca_then_kmeans,9,0.883012821,0.859410431,0.971794872,0.912154031,0.951402586
