,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0,resnet18,entropy,0,0.391025641,0.8125,0.033333333,0.064039409,0.648794653
1,resnet18,entropy,1,0.395833333,0.933333333,0.035897436,0.069135802,0.783815472
2,resnet18,entropy,2,0.423076923,0.96875,0.079487179,0.146919431,0.808744247
3,resnet18,entropy,3,0.458333333,0.964285714,0.138461538,0.242152466,0.83258821
4,resnet18,entropy,4,0.455128205,0.962962963,0.133333333,0.234234234,0.838965593
5,resnet18,entropy,5,0.459935897,0.981818182,0.138461538,0.242696629,0.865899627
6,resnet18,entropy,6,0.487179487,0.986111111,0.182051282,0.307359307,0.863620425
7,resnet18,entropy,7,0.551282051,0.974137931,0.28974359,0.446640316,0.890072321
8,resnet18,entropy,8,0.599358974,0.948717949,0.379487179,0.542124542,0.895441595
9,resnet18,entropy,9,0.626602564,0.953757225,0.423076923,0.586145648,0.898739864
10,resnet18,entropy,10,0.711538462,0.96875,0.556410256,0.706840391,0.918836292
11,resnet18,entropy,11,0.834935897,0.947040498,0.779487179,0.855133615,0.927153189
12,resnet18,entropy,12,0.879807692,0.926829268,0.876923077,0.901185771,0.941770765
13,resnet18,entropy,13,0.894230769,0.917525773,0.912820513,0.915167095,0.944455402
14,resnet18,entropy,14,0.894230769,0.893203883,0.943589744,0.917705736,0.948696033
15,resnet18,entropy,15,0.90224359,0.90617284,0.941025641,0.92327044,0.950602674
16,resnet18,entropy,16,0.900641026,0.898058252,0.948717949,0.922693267,0.951117686
17,resnet18,entropy,17,0.90224359,0.887058824,0.966666667,0.925153374,0.956771861
18,resnet18,entropy,18,0.895833333,0.882352941,0.961538462,0.920245399,0.955336401
19,resnet18,entropy,19,0.908653846,0.893617021,0.969230769,0.929889299,0.962502739
20,resnet18,entropy,20,0.899038462,0.879350348,0.971794872,0.923264312,0.959631821
21,resnet18,entropy,21,0.897435897,0.873853211,0.976923077,0.92251816,0.961176857
22,resnet18,entropy,22,0.903846154,0.885514019,0.971794872,0.926650367,0.961954854
23,resnet18,entropy,23,0.891025641,0.864253394,0.979487179,0.918269231,0.958141574
24,resnet18,entropy,24,0.884615385,0.854910714,0.982051282,0.914081146,0.963839579
25,resnet18,entropy,25,0.884615385,0.854910714,0.982051282,0.914081146,0.963445102
26,resnet18,entropy,26,0.886217949,0.856823266,0.982051282,0.915173238,0.963730002
27,resnet18,entropy,27,0.883012821,0.851441242,0.984615385,0.913198573,0.958766163
28,resnet18,entropy,28,0.873397436,0.838779956,0.987179487,0.906949352,0.963554679
29,resnet18,entropy,29,0.886217949,0.85209713,0.98974359,0.915776987,0.963532764
0,resnet18,pca_then_kmeans,0,0.391025641,0.8125,0.033333333,0.064039409,0.648794653
1,resnet18,pca_then_kmeans,1,0.386217949,0.888888889,0.020512821,0.040100251,0.717976112
2,resnet18,pca_then_kmeans,2,0.442307692,0.956521739,0.112820513,0.201834862,0.78191979
3,resnet18,pca_then_kmeans,3,0.447115385,0.978723404,0.117948718,0.210526316,0.802399737
4,resnet18,pca_then_kmeans,4,0.477564103,0.970588235,0.169230769,0.288209607,0.848838483
5,resnet18,pca_then_kmeans,5,0.517628205,0.989010989,0.230769231,0.374220374,0.894597852
6,resnet18,pca_then_kmeans,6,0.706730769,0.955947137,0.556410256,0.703403566,0.906771861
7,resnet18,pca_then_kmeans,7,0.713141026,0.96069869,0.564102564,0.71082391,0.912875301
8,resnet18,pca_then_kmeans,8,0.735576923,0.951807229,0.607692308,0.741784038,0.912053474
9,resnet18,pca_then_kmeans,9,0.774038462,0.959409594,0.666666667,0.786686838,0.923416612
10,resnet18,pca_then_kmeans,10,0.834935897,0.93883792,0.787179487,0.856345886,0.928994083
11,resnet18,pca_then_kmeans,11,0.857371795,0.943952802,0.820512821,0.877914952,0.936456279
12,resnet18,pca_then_kmeans,12,0.892628205,0.908860759,0.920512821,0.914649682,0.937256191
13,resnet18,pca_then_kmeans,13,0.894230769,0.907035176,0.925641026,0.916243655,0.940061363
14,resnet18,pca_then_kmeans,14,0.889423077,0.906329114,0.917948718,0.912101911,0.936467236
15,resnet18,pca_then_kmeans,15,0.887820513,0.906091371,0.915384615,0.910714286,0.93678501
16,resnet18,pca_then_kmeans,16,0.900641026,0.903940887,0.941025641,0.922110553,0.939162831
17,resnet18,pca_then_kmeans,17,0.900641026,0.91,0.933333333,0.921518987,0.938209511
18,resnet18,pca_then_kmeans,18,0.905448718,0.916876574,0.933333333,0.925031766,0.940138067
19,resnet18,pca_then_kmeans,19,0.899038462,0.901719902,0.941025641,0.920953576,0.942483016
20,resnet18,pca_then_kmeans,20,0.91025641,0.9175,0.941025641,0.929113924,0.946175762
21,resnet18,pca_then_kmeans,21,0.883012821,0.869463869,0.956410256,0.910866911,0.94704142
22,resnet18,pca_then_kmeans,22,0.90224359,0.904176904,0.943589744,0.923462986,0.94728249
23,resnet18,pca_then_kmeans,23,0.900641026,0.896135266,0.951282051,0.922885572,0.947304405
24,resnet18,pca_then_kmeans,24,0.881410256,0.8640553,0.961538462,0.910194175,0.947479728
25,resnet18,pca_then_kmeans,25,0.897435897,0.888095238,0.956410256,0.920987654,0.949868508
26,resnet18,pca_then_kmeans,26,0.879807692,0.858769932,0.966666667,0.909529554,0.949917817
27,resnet18,pca_then_kmeans,27,0.879807692,0.862068966,0.961538462,0.909090909,0.942077581
28,resnet18,pca_then_kmeans,28,0.900641026,0.888625592,0.961538462,0.92364532,0.950010958
29,resnet18,pca_then_kmeans,29,0.884615385,0.869767442,0.958974359,0.912195122,0.948027613
0,resnet18,random,0,0.391025641,0.8125,0.033333333,0.064039409,0.648794653
1,resnet18,random,1,0.387820513,0.9,0.023076923,0.045,0.751347798
2,resnet18,random,2,0.440705128,0.936170213,0.112820513,0.201372998,0.793485645
3,resnet18,random,3,0.4375,0.914893617,0.11025641,0.196796339,0.809259259
4,resnet18,random,4,0.46474359,0.951612903,0.151282051,0.261061947,0.831481481
5,resnet18,random,5,0.496794872,0.975,0.2,0.331914894,0.867061144
6,resnet18,random,6,0.596153846,0.97260274,0.364102564,0.529850746,0.881470524
7,resnet18,random,7,0.689102564,0.933628319,0.541025641,0.685064935,0.890466798
8,resnet18,random,8,0.737179487,0.93129771,0.625641026,0.748466258,0.898674118
