,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0,resnet18,entropy,0,0.8237179487179487,0.8139013452914798,0.9307692307692308,0.868421052631579,0.9003506465044927
1,resnet18,entropy,1,0.8285256410256411,0.8017057569296375,0.9641025641025641,0.8754365541327125,0.9077251808021038
2,resnet18,entropy,2,0.8173076923076923,0.7771084337349398,0.9923076923076923,0.8716216216216216,0.9442252903791366
3,resnet18,entropy,3,0.8461538461538461,0.8049792531120332,0.9948717948717949,0.8899082568807339,0.9604865220249835
4,resnet18,entropy,4,0.8301282051282052,0.7886178861788617,0.9948717948717949,0.8798185941043084,0.9367083059390751
5,resnet18,entropy,5,0.7339743589743589,0.7014388489208633,1.0,0.8245243128964059,0.9105741836511068
6,resnet18,entropy,6,0.8125,0.7702970297029703,0.9974358974358974,0.8692737430167597,0.9394148586456279
7,resnet18,entropy,7,0.7532051282051282,0.7177121771217713,0.9974358974358974,0.8347639484978541,0.934407188253342
8,resnet18,entropy,8,0.8221153846153846,0.7806841046277666,0.9948717948717949,0.874859075535513,0.9590948937102783
9,resnet18,entropy,9,0.7708333333333334,0.7325800376647834,0.9974358974358974,0.8447339847991314,0.940483234714004
