,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0,resnet18,pca_then_kmeans,0,0.8237179487179487,0.8139013452914798,0.9307692307692308,0.868421052631579,0.9003506465044927
1,resnet18,pca_then_kmeans,1,0.7932692307692307,0.7657841140529531,0.9641025641025641,0.8535754824063564,0.9068047337278106
2,resnet18,pca_then_kmeans,2,0.8028846153846154,0.7686116700201208,0.9794871794871794,0.8613303269447576,0.9273833004602237
3,resnet18,pca_then_kmeans,3,0.7884615384615384,0.7539370078740157,0.982051282051282,0.8530066815144766,0.9347030462415077
4,resnet18,pca_then_kmeans,4,0.8044871794871795,0.7627450980392156,0.9974358974358974,0.8644444444444445,0.9435678281832128
5,resnet18,pca_then_kmeans,5,0.8846153846153846,0.8471615720524017,0.9948717948717949,0.9150943396226415,0.9556432171816787
6,resnet18,pca_then_kmeans,6,0.9006410256410257,0.8813953488372093,0.9717948717948718,0.9243902439024391,0.9587990357221127
7,resnet18,pca_then_kmeans,7,0.8942307692307693,0.86,0.9923076923076923,0.9214285714285714,0.9729563883410037
8,resnet18,pca_then_kmeans,8,0.6875,0.6666666666666666,1.0,0.8,0.7596537365768136
9,resnet18,pca_then_kmeans,9,0.8301282051282052,0.789795918367347,0.9923076923076923,0.8795454545454545,0.9298926145079991
