,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0,resnet18,random,0,0.8237179487179487,0.8139013452914798,0.9307692307692308,0.868421052631579,0.9003506465044927
1,resnet18,random,1,0.7628205128205128,0.7300380228136882,0.9846153846153847,0.8384279475982532,0.8696800350646504
2,resnet18,random,2,0.8157051282051282,0.780040733197556,0.982051282051282,0.8694665153234961,0.9150668419899189
3,resnet18,random,3,0.7884615384615384,0.7549407114624506,0.9794871794871794,0.8526785714285714,0.9365548980933596
4,resnet18,random,4,0.7996794871794872,0.7613412228796844,0.9897435897435898,0.8606465997770345,0.9478084593469209
5,resnet18,random,5,0.8669871794871795,0.8301075268817204,0.9897435897435898,0.9029239766081871,0.9584155161078238
6,resnet18,random,6,0.8589743589743589,0.8240343347639485,0.9846153846153847,0.897196261682243,0.9587552049090511
7,resnet18,random,7,0.7996794871794872,0.7613412228796844,0.9897435897435898,0.8606465997770345,0.9584922200306816
8,resnet18,random,8,0.8525641025641025,0.8130252100840336,0.9923076923076923,0.8937644341801386,0.9555007670392286
9,resnet18,random,9,0.7580128205128205,0.7217068645640075,0.9974358974358974,0.83745963401507,0.9129629629629629
