,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0,resnet18,uncertainty,0,0.8237179487179487,0.8139013452914798,0.9307692307692308,0.868421052631579,0.9003506465044927
1,resnet18,uncertainty,1,0.8044871794871795,0.7745901639344263,0.9692307692307692,0.8610478359908884,0.9087442472057856
2,resnet18,uncertainty,2,0.75,0.7174721189591078,0.9897435897435898,0.8318965517241379,0.9297939951786105
3,resnet18,uncertainty,3,0.7580128205128205,0.7225325884543762,0.9948717948717949,0.837108953613808,0.9416995397764628
4,resnet18,uncertainty,4,0.7708333333333334,0.7343453510436433,0.9923076923076923,0.8440567066521265,0.9365165461319307
5,resnet18,uncertainty,5,0.719551282051282,0.6923076923076923,0.9923076923076923,0.815595363540569,0.9371520929213236
6,resnet18,uncertainty,6,0.7644230769230769,0.7271028037383177,0.9974358974358974,0.841081081081081,0.9260190664036818
7,resnet18,uncertainty,7,0.8060897435897436,0.7706237424547284,0.982051282051282,0.8635851183765502,0.9392230988384835
8,resnet18,uncertainty,8,0.7676282051282052,0.7324478178368121,0.9897435897435898,0.8418756815703381,0.9162886259040106
9,resnet18,uncertainty,9,0.8237179487179487,0.7916666666666666,0.9743589743589743,0.8735632183908046,0.9319581415735263
