,Model,Sampling Method,Active Learning Round,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0,vgg16,random,0,0.8141025641025641,0.9691780821917808,0.7256410256410256,0.8299120234604106,0.9307363576594345
1,vgg16,random,1,0.7852564102564102,0.7570281124497992,0.9666666666666667,0.8490990990990991,0.9170611439842209
2,vgg16,random,2,0.8317307692307693,0.8104575163398693,0.9538461538461539,0.8763250883392226,0.9395025202717511
3,vgg16,random,3,0.8461538461538461,0.9375,0.8076923076923077,0.8677685950413223,0.9226879246110015
4,vgg16,random,4,0.8076923076923077,0.7800829875518672,0.9641025641025641,0.8623853211009175,0.9443293885601578
5,vgg16,random,5,0.8349358974358975,0.8086021505376344,0.9641025641025641,0.87953216374269,0.9552323033092265
6,vgg16,random,6,0.8862179487179487,0.882494004796163,0.9435897435897436,0.9120198265179678,0.9572923515231206
7,vgg16,random,7,0.8910256410256411,0.9045226130653267,0.9230769230769231,0.9137055837563451,0.9440883190883191
8,vgg16,random,8,0.8910256410256411,0.8761682242990654,0.9615384615384616,0.9168704156479217,0.955528161297392
9,vgg16,random,9,0.6282051282051282,0.6270096463022508,1.0,0.7707509881422925,0.9591113302651765
